Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","332","Haiti","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","1890.2","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","340","Honduras","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","5634.57","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","348","Hungary","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","60884.11","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","352","Iceland","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","8147.08","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","360","Indonesia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","187843.07","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","372","Ireland","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","97139.01","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","376","Israel","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","157622.94","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","380","Italy","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","705551.67","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","388","Jamaica","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","4636.32","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","392","Japan","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","1208740.86","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","400","Jordan","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","12973.24","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","398","Kazakhstan","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","30261.88","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","404","Kenya","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","28178.35","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","414","Kuwait","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","70496.95","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","417","Kyrgyzstan","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","1996.88","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","428","Latvia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","8844.79","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","422","Lebanon","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","12040.13","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","426","Lesotho","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","956.02","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","430","Liberia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","518.48","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","440","Lithuania","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","18728.36","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","442","Luxembourg","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","25262.41","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","450","Madagascar","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","2422.27","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","458","Malaysia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","74212.27","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","462","Maldives","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","1960.6","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","466","Mali","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","3563.29","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","470","Malta","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","6835.86","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","480","Mauritius","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","3775.69","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","484","Mexico","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","223937.94","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","583","Micronesia (Federated States of)","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","87.36","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","496","Mongolia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","4087.96","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","504","Morocco","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","41561.34","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","508","Mozambique","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","4397.24","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","516","Namibia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","4585.79","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","524","Nepal","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","9219.94","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","528","Netherlands","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","287346.84","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","554","New Zealand","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","79124.51","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","558","Nicaragua","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","2560.24","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","562","Niger","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","3382.93","A","Official figure","Budgetary Central Government Expenditure"
