Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","024","Angola","5910","Export Quantity","01520.01","Cassava, fresh","2019","2019","tonnes","428.63","A","Official figure"
"TCL","Crops and livestock products","024","Angola","5922","Export Value","01520.01","Cassava, fresh","2019","2019","1000 US$","400","A","Official figure"
"TCL","Crops and livestock products","418","Lao People's Democratic Republic","5910","Export Quantity","01520.01","Cassava, fresh","2019","2019","tonnes","358920.87","A","Official figure"
"TCL","Crops and livestock products","418","Lao People's Democratic Republic","5922","Export Value","01520.01","Cassava, fresh","2019","2019","1000 US$","16235","A","Official figure"
"TCL","Crops and livestock products","104","Myanmar","5910","Export Quantity","01520.01","Cassava, fresh","2019","2019","tonnes","5173.3","A","Official figure"
"TCL","Crops and livestock products","104","Myanmar","5922","Export Value","01520.01","Cassava, fresh","2019","2019","1000 US$","1043","A","Official figure"
"TCL","Crops and livestock products","566","Nigeria","5910","Export Quantity","01520.01","Cassava, fresh","2019","2019","tonnes","0.12","T","Unofficial figure"
"TCL","Crops and livestock products","566","Nigeria","5922","Export Value","01520.01","Cassava, fresh","2019","2019","1000 US$","0","T","Unofficial figure"
